mjd,mag,magerr
51818.42,19.609299,0.019881858
51875.25,19.620932,0.019429592
52171.41,19.415556,0.018083116
52171.49,19.443869,0.018555554
52173.39,19.413525,0.02704505
52224.37,19.384792,0.03778294
52225.33,19.437193,0.016705964
52234.33,19.387205,0.020159643
52261.29,19.392588,0.03379826
52283.16,19.378973,0.019376777
52287.17,19.41535,0.019163702
52288.17,19.428543,0.020591227
52522.47,19.552498,0.016339656
52551.44,19.519173,0.022494625
52557.46,19.57054,0.023728706
52558.48,19.529112,0.020743044
52578.35,19.550549,0.021245845
52585.31,19.52878,0.019864323
52585.36,19.54391,0.013817986
52908.44,19.608984,0.023597622
52910.45,19.565985,0.026355904
52912.42,19.51281,0.024103347
52934.37,19.555544,0.016130792
52935.37,19.551075,0.019754658
52936.37,19.558681,0.020973485
53270.43,19.515097,0.022141123
53272.48,19.53625,0.021409579
53286.45,19.66899,0.024422754
53288.41,19.559593,0.0216412
53294.45,19.50737,0.021363113
53296.4,19.534788,0.026060984
53298.45,19.502687,0.022734562
53312.36,19.494257,0.026972085
53314.36,19.450901,0.022992197
53616.46,19.443121,0.020925183
53622.48,19.427084,0.016754381
53626.44,19.435823,0.019623121
53627.43,19.350126,0.017562019
53635.43,19.37957,0.022839917
53638.47,19.390026,0.01802107
53639.47,19.372665,0.029519623
53640.43,19.489176,0.020231191
53657.48,19.455278,0.02083813
53663.41,19.416624,0.028031396
53664.43,19.85787,0.046252757
53665.39,19.418417,0.029321503
53665.49,19.44855,0.027498037
53668.4,19.394924,0.027505916
53668.48,19.434195,0.029169107
53669.39,19.413511,0.02186026
53669.49,19.402802,0.022850102
53671.47,19.408014,0.025515102
53673.38,19.403803,0.016517958
53674.37,19.403418,0.024754772
53675.37,19.45733,0.025842287
53676.46,19.480942,0.03022486
53676.49,21.239113,0.06590576
53679.43,19.419445,0.017400486
53680.38,19.477318,0.02938737
53681.42,19.786861,0.029692445
53683.44,20.215889,0.027772771
53686.38,19.473745,0.023929825
53696.39,19.454191,0.02313323
53697.38,19.502773,0.022594031
53699.4,19.474852,0.021553837
53975.45,19.424217,0.025694568
53989.46,19.424774,0.027661672
53994.48,19.376926,0.022930458
53996.46,19.128681,0.028222656
54008.45,19.419706,0.017585224
54009.41,19.355968,0.022202466
54009.49,19.382101,0.018542586
54010.41,19.422153,0.018584494
54011.48,19.42751,0.02140013
54012.41,19.3394,0.016736595
54020.44,19.380066,0.02329561
54024.49,19.405046,0.0179094
54025.48,19.215105,0.019223811
54028.48,19.363129,0.025278484
54029.48,19.330221,0.030430978
54030.44,19.381908,0.016828341
54031.39,19.375017,0.017015211
54035.48,19.358606,0.022579331
54036.4,19.377644,0.015225939
54037.39,19.389482,0.016695194
54039.39,19.387568,0.017155137
54040.4,19.386261,0.01836038
54041.37,19.359112,0.019741146
54041.44,19.403616,0.020048939
54047.43,19.445835,0.047954686
54048.42,19.392536,0.023138031
54049.43,19.430122,0.03755146
54050.39,19.383373,0.026337387
54052.39,19.346548,0.03371303
54053.41,19.255663,0.031410813
54055.41,19.363327,0.029615792
54056.39,19.328209,0.02219455
54058.39,19.37615,0.025811784
54059.39,19.34333,0.024536466
54060.41,19.373642,0.021219386
54061.4,19.429214,0.01733258
54062.39,19.365889,0.02245065
54065.39,19.396517,0.021373728
54068.37,19.393011,0.049148865
54348.47,19.55295,0.025503717
54357.43,19.52339,0.019259822
54365.46,19.517317,0.02359704
54376.48,19.545492,0.020773072
54381.48,19.49276,0.026470957
54382.46,19.536953,0.02131835
54385.48,19.563335,0.019993091
54386.47,19.5074,0.019210625
54387.48,19.454144,0.02343663
54391.48,19.465483,0.016292462
54392.48,19.534733,0.020993866
54393.48,19.54304,0.028085062
54396.34,19.475368,0.050078444
54396.48,19.444506,0.036845017
54402.47,19.50783,0.03758505
54404.45,19.388716,0.25811395
54406.39,19.492258,0.0202511
54409.39,19.451754,0.017197745
54411.34,19.428766,0.07271898
54412.41,19.462992,0.02158095
54413.39,19.49852,0.026088968
54416.38,19.516525,0.030771542
54421.39,19.445885,0.020367654
54423.37,19.473597,0.020031886
54424.33,19.452253,0.028068207
54433.39,19.46758,0.036424965
