mjd,mag,magerr
51818.42,20.710876,0.03261151
51875.25,20.97283,0.03515604
52171.41,20.913292,0.034516636
52171.49,21.035854,0.040958963
52173.39,20.940996,0.035318553
52234.32,20.92081,0.040036693
52287.17,21.041182,0.038153775
52288.17,20.979406,0.03422792
52522.47,20.931292,0.035941105
52551.44,20.91497,0.034044478
52552.49,20.96219,0.03654324
52557.46,20.964415,0.032596778
52558.47,20.982924,0.03159005
52578.35,20.965387,0.03541664
52585.31,20.981777,0.030900275
52585.36,20.90263,0.032482013
52908.44,21.069159,0.040096484
52910.45,20.883808,0.045342546
52912.42,20.868332,0.037991337
52934.37,20.87468,0.033209804
52935.37,20.98047,0.03489681
52936.36,20.979088,0.03391362
53270.43,20.88086,0.03213781
53272.48,20.901245,0.033080313
53288.41,21.001337,0.03580755
53296.4,20.944475,0.037145965
53298.45,20.946556,0.0357717
53312.36,20.903103,0.059865456
53314.36,20.924564,0.049874905
53616.46,20.97882,0.03762253
53622.48,21.016674,0.03372891
53626.44,21.07604,0.037322953
53627.43,20.974209,0.036536694
53638.47,20.994135,0.054404907
53639.47,20.941296,0.04276051
53640.43,21.072634,0.04213834
53657.47,21.022825,0.044345316
53663.41,20.89204,0.10629446
53663.49,20.708887,0.089134894
53668.4,20.751398,0.04961626
53668.48,20.74458,0.08185115
53669.39,20.85698,0.05061548
53671.47,20.903465,0.046162095
53673.38,20.785097,0.02999353
53674.37,20.899918,0.049007107
53675.37,20.887867,0.032533236
53676.46,20.87714,0.059147067
53679.43,20.94911,0.036226224
53680.38,20.90272,0.033534274
53681.42,21.29022,0.045208603
53686.38,20.750658,0.06397348
53696.39,20.86971,0.050455242
53697.38,21.020668,0.052725866
53699.4,20.955622,0.05003963
53975.45,20.837406,0.035163797
53989.46,20.842787,0.07887055
53994.47,20.875364,0.0447121
53996.46,20.67487,0.03573484
54008.45,20.84843,0.031959604
54009.41,20.850708,0.029543145
54009.48,20.898134,0.029365107
54010.41,20.852623,0.030302232
54011.48,20.874495,0.032892752
54012.4,20.899668,0.04861952
54020.44,20.764174,0.055523332
54024.49,20.772985,0.046771582
54025.47,20.63573,0.03980237
54028.48,20.876453,0.038532328
54029.48,20.825659,0.03903749
54030.44,20.82421,0.029936064
54035.48,20.801872,0.04332925
54037.39,20.913982,0.03837738
54039.39,20.91392,0.031729612
54040.4,20.839981,0.03345618
54041.36,20.876263,0.060271416
54041.44,20.87904,0.030869365
54047.43,20.586037,0.09824831
54049.43,21.022745,0.11675618
54050.39,20.772478,0.063714266
54052.39,20.888924,0.062058568
54053.41,20.795912,0.06818098
54056.39,20.78859,0.03442348
54058.39,20.86557,0.043643612
54059.39,20.819384,0.034379974
54061.4,20.84631,0.040837187
54062.39,20.893875,0.036260623
54065.39,20.940496,0.04656139
54068.37,20.752832,0.043483477
54348.47,20.965494,0.05703038
54357.43,20.77495,0.026521536
54365.46,20.848118,0.028191637
54376.48,20.86219,0.04282683
54381.48,20.732113,0.037037104
54382.46,20.820478,0.034333505
54385.48,20.882242,0.03525882
54386.47,20.924894,0.03410621
54387.48,20.787409,0.036261953
54391.48,20.773087,0.04243931
54392.47,20.832682,0.043233972
54393.48,20.86514,0.037427492
54394.46,20.88229,0.07342251
54396.34,20.764965,0.099277355
54396.48,20.941216,0.052098755
54402.47,21.088337,0.1514493
54406.38,20.83331,0.0390726
54409.39,20.851536,0.030763322
54411.34,20.85266,0.038663056
54412.41,20.745676,0.040366065
54413.38,20.876024,0.047898795
54415.4,20.824043,0.032022353
54416.38,20.929464,0.03816127
54418.38,20.88954,0.036525317
54421.39,20.842545,0.035475265
54422.39,20.827517,0.04352861
54423.37,20.893803,0.034384735
54424.33,20.808636,0.05474021
