mjd,mag,magerr
51818.42,20.486816,0.030191107
51875.25,20.588789,0.030050268
52171.41,20.758343,0.027624879
52171.48,20.7489,0.03343137
52173.38,20.723587,0.032371055
52224.36,20.783112,0.029032968
52225.33,20.870937,0.03263357
52234.32,20.767096,0.033585187
52261.28,20.701645,0.031987354
52287.16,20.647833,0.031003738
52288.16,20.692225,0.0307742
52522.47,20.526691,0.034281734
52551.44,20.509567,0.026270233
52552.48,20.528872,0.02776247
52557.46,20.56111,0.028539438
52558.47,20.584375,0.028538521
52578.34,20.607702,0.02799136
52585.31,20.580473,0.026732208
52585.36,20.548565,0.026487838
52908.43,20.745464,0.027830118
52910.44,20.719181,0.043512188
52912.41,20.699121,0.03111481
52934.36,20.746305,0.027702989
52935.37,20.743101,0.027985565
52936.36,20.755398,0.027600575
53270.42,21.060568,0.034049444
53286.44,21.2901,0.060201105
53288.4,21.0659,0.03348661
53294.45,21.250095,0.046257813
53296.4,21.071,0.040544085
53298.45,21.034283,0.037205935
53312.35,21.032934,0.07103469
53314.35,21.123857,0.050942685
53616.46,20.68518,0.02684727
53622.47,20.736668,0.027911784
53626.43,21.402916,0.045907956
53627.43,20.616653,0.03258717
53635.43,20.701887,0.05991704
53638.46,20.646202,0.039206494
53639.47,20.665363,0.04020736
53640.43,20.657278,0.03370099
53641.47,20.720903,0.043954756
53643.47,20.69835,0.029349612
53657.47,20.70463,0.02994597
53663.41,20.61361,0.0785417
53663.49,20.75367,0.10513064
53665.39,20.68156,0.05366657
53665.49,20.56349,0.05469908
53666.48,20.643223,0.049001466
53668.4,20.635767,0.048331685
53668.48,20.55459,0.052684847
53669.38,20.652576,0.039415393
53669.49,20.674814,0.045841414
53671.47,20.638357,0.03483211
53673.37,20.712952,0.02786632
53674.37,20.646389,0.039389487
53675.37,20.699644,0.030632183
53676.46,20.668423,0.056892224
53676.49,22.688112,0.18816698
53679.43,20.71038,0.03450754
53680.38,20.694916,0.03135723
53681.42,20.974703,0.039818935
53683.43,21.667091,0.053627145
53686.38,20.753174,0.063404374
53696.39,20.724129,0.048758786
53697.38,20.7838,0.047062203
53699.4,20.80747,0.043669984
53975.45,20.801842,0.037548456
53994.47,20.882484,0.039431687
53996.45,20.672445,0.041692022
54007.48,20.874504,0.033040106
54008.44,20.795279,0.030329432
54009.41,20.90638,0.028490426
54009.48,20.9164,0.029503366
54010.41,21.0759,0.034215666
54011.47,20.916601,0.028869152
54012.4,20.924805,0.060328703
54012.48,20.903748,0.033384737
54020.44,20.82945,0.05854889
54024.49,20.961206,0.052797563
54025.47,20.743017,0.042925
54028.48,20.922556,0.03944743
54029.48,20.929682,0.033946343
54030.43,20.960657,0.03081682
54031.39,20.981497,0.031894572
54035.48,20.97981,0.051064234
54036.39,20.8532,0.037593737
54037.38,20.897816,0.03067971
54039.39,20.919956,0.03288086
54040.4,20.981602,0.034317505
54041.43,20.933718,0.034971878
54047.43,20.870039,0.1247271
54048.41,20.817379,0.06573234
54049.42,20.739748,0.08151671
54050.38,20.831558,0.07579493
54052.39,21.009329,0.06204436
54053.4,20.96721,0.05943937
54055.4,20.78722,0.035916336
54056.39,20.910341,0.038830996
54058.38,20.800375,0.04132911
54059.38,20.897327,0.036769632
54060.41,20.835165,0.033507325
54061.39,20.88931,0.041126247
54062.39,20.957132,0.036013372
54065.38,20.920288,0.037892018
54068.37,20.863108,0.049336564
54346.46,20.899525,0.09013715
54348.47,20.921665,0.057657856
54357.43,20.90642,0.03637867
54362.48,20.9442,0.03175082
54365.46,20.884254,0.031331938
54376.47,20.806696,0.040774312
54381.48,20.823751,0.034122467
54382.46,20.832085,0.032166664
54385.47,20.877253,0.035927277
54387.47,20.795881,0.03709355
54391.48,20.76598,0.04637079
54392.47,20.779202,0.033730336
54393.48,20.81643,0.039228905
54394.46,21.127172,0.07980997
54396.34,20.755875,0.10019211
54396.48,20.809242,0.046129756
54402.47,20.774715,0.1203055
54403.39,20.857744,0.08055846
54404.44,20.891212,0.08275829
54406.38,20.851707,0.035752904
54409.39,20.81404,0.029329842
54411.34,20.746191,0.03509661
54413.38,20.794022,0.044178605
54415.39,20.79639,0.029919656
54416.38,20.81389,0.030042797
54418.38,20.780012,0.042664625
54421.39,20.738619,0.03554678
54422.39,20.817192,0.038810086
54423.36,20.77589,0.030030062
54424.32,20.725372,0.051040825
54433.38,20.694067,0.090349235
