mjd,mag,magerr
51818.42,20.900833,0.041772746
51875.25,20.806034,0.036520828
52171.41,20.936928,0.03631164
52173.38,21.089708,0.04416946
52224.37,21.018322,0.0438932
52225.33,21.035908,0.03731888
52234.32,21.037441,0.046557732
52261.28,20.975613,0.048579343
52287.17,20.968653,0.041806735
52288.16,21.002222,0.037633296
52522.47,20.98926,0.04065896
52552.48,21.008698,0.041191373
52557.46,21.00089,0.039995212
52558.47,21.027313,0.038971413
52578.34,21.012398,0.03918999
52585.31,20.984758,0.035841484
52585.36,20.970615,0.040145885
52908.43,21.047207,0.042772796
52910.44,20.978628,0.05234071
52912.41,20.847507,0.04033947
52934.37,20.92982,0.042158015
52935.37,20.944921,0.037155647
52936.36,20.915255,0.042314738
53270.43,20.917553,0.037460838
53272.47,20.96276,0.040046796
53286.44,21.02606,0.055579264
53288.4,20.940231,0.0382782
53294.45,21.065369,0.049009364
53296.4,20.93251,0.04522407
53298.45,20.865711,0.044989895
53312.35,20.974485,0.079170175
53314.35,20.902195,0.05108172
53616.46,21.142332,0.04644781
53626.44,21.97094,0.10252422
53627.43,21.05208,0.045371912
53635.43,21.06391,0.088902645
53638.46,21.076656,0.05664212
53639.47,20.964922,0.05181393
53640.43,21.132313,0.048546407
53641.47,21.049894,0.05921025
53657.47,21.126074,0.044617295
53663.41,21.079037,0.12083424
53663.49,21.01974,0.14399223
53665.39,21.016579,0.08102888
53666.48,21.15155,0.08482379
53668.4,21.073582,0.0802763
53668.48,21.238157,0.09893591
53669.38,21.04772,0.0539064
53669.49,21.042141,0.072316594
53671.47,21.092623,0.05376943
53673.37,21.076174,0.041348275
53674.37,20.984625,0.05261374
53675.37,21.063047,0.04474414
53679.43,21.03248,0.046015326
53680.38,21.03996,0.040985122
53681.42,21.374128,0.04661692
53683.44,22.329918,0.11423448
53686.38,21.013617,0.09223183
53696.39,21.055025,0.06930835
53699.4,21.190628,0.071946084
53989.46,21.204779,0.10931394
53994.47,21.102581,0.04515822
54007.48,21.093805,0.045363054
54008.44,21.1024,0.044533785
54009.41,21.025599,0.03620268
54010.41,21.074175,0.03374868
54011.47,21.108965,0.0393572
54012.4,20.970438,0.05998535
54012.48,21.075232,0.05099242
54025.47,21.04025,0.05249081
54028.48,21.10437,0.051603515
54029.48,21.221802,0.057870034
54030.43,21.107311,0.035577267
54031.39,21.061321,0.039739143
54036.39,21.041777,0.048287064
54037.38,21.178833,0.036251333
54039.39,21.210903,0.044573713
54040.4,21.098864,0.036868684
54041.36,21.155842,0.081869684
54041.43,20.99294,0.03776644
54047.43,20.986267,0.14889498
54048.41,21.213776,0.11943506
54049.42,21.024508,0.10622634
54052.39,21.319347,0.10708427
54053.4,21.154724,0.08012621
54055.4,21.025694,0.055878203
54056.39,21.221582,0.048422657
54058.38,21.213257,0.0672454
54060.41,21.233486,0.052151557
54065.38,21.38404,0.065914616
54068.37,21.135073,0.060923845
54346.46,21.227676,0.1260381
54365.46,21.181885,0.041758176
54376.47,21.294613,0.06166587
54381.48,21.199903,0.06390977
54382.46,21.29145,0.04807403
54385.47,21.196491,0.048680034
54386.47,21.217432,0.04996477
54392.47,21.174866,0.0509085
54393.48,21.229927,0.052700855
54394.46,21.312496,0.10946552
54396.48,21.181358,0.07197508
54404.45,20.957481,0.097274475
54406.38,21.154415,0.049537785
54412.41,21.185263,0.06935151
54416.38,21.138798,0.046288103
54421.39,21.235228,0.06163699
54423.36,21.181269,0.04682183
54433.39,20.829815,0.10814141
