mjd,mag,magerr
51818.41,20.927855,0.03480273
51875.24,20.837948,0.030317111
52171.4,20.60032,0.028275717
52171.48,20.724113,0.035267964
52224.36,20.558575,0.027607793
52225.32,20.563574,0.024446521
52234.32,20.624956,0.028748294
52261.28,20.657322,0.029552493
52287.16,20.687069,0.030831229
52522.46,20.78441,0.031137357
52551.43,20.724112,0.030688263
52552.48,20.702114,0.026190655
52557.45,20.738237,0.02772904
52585.35,20.656652,0.0252915
52908.43,20.851606,0.032186296
52910.44,20.818861,0.048145875
52912.41,20.833439,0.032514956
52934.36,20.786211,0.028061133
52935.36,20.834599,0.033090487
52936.35,20.809332,0.029957235
53270.42,20.797037,0.028473374
53272.47,20.859783,0.030608485
53286.44,20.857086,0.040193517
53288.4,20.882103,0.029892502
53294.44,20.972956,0.042704504
53296.39,20.829233,0.037048157
53298.44,20.934462,0.032306258
53312.35,20.932384,0.065232225
53314.35,20.914356,0.045925118
53616.45,21.044199,0.038765308
53622.47,21.009573,0.028650308
53626.43,24.36341,0.5117216
53627.42,21.041756,0.03621408
53635.42,20.980228,0.07618508
53639.46,21.078512,0.05380449
53640.42,21.115732,0.046580125
53646.48,21.125288,0.041472565
53663.4,21.012495,0.12365467
53663.48,20.96666,0.13605554
53665.38,21.195816,0.089819595
53665.48,21.041616,0.08605339
53666.47,21.048674,0.06832468
53668.39,21.13622,0.07013913
53668.47,21.13205,0.08773683
53669.38,21.129282,0.05244084
53669.48,20.965021,0.06294961
53671.46,21.044575,0.052300595
53674.36,20.951363,0.04014935
53675.36,21.037176,0.038533207
53676.45,21.02286,0.039089948
53676.48,22.166878,0.10809431
53679.42,21.037718,0.04137124
53680.37,21.105158,0.032756194
53683.43,22.334541,0.10226709
53686.37,20.979921,0.082211204
53697.37,21.061752,0.053598005
53699.39,21.1071,0.052167617
53704.36,21.023249,0.043985162
53975.44,20.97595,0.042204414
53996.45,20.757267,0.037785538
54000.43,20.954063,0.04043153
54009.4,20.934914,0.03157067
54009.48,20.971767,0.031295016
54010.4,20.977766,0.029821128
54011.47,20.968487,0.029112443
54012.4,20.941698,0.05872935
54020.43,20.911942,0.06613989
54024.48,20.892769,0.049542155
54025.46,20.68147,0.040152896
54028.47,20.930687,0.050564848
54029.47,20.952147,0.037053294
54030.43,20.969788,0.035973415
54031.38,20.957573,0.029790571
54036.39,20.91804,0.043646555
54039.39,20.928928,0.033776686
54041.36,20.820637,0.06466001
54047.42,21.061142,0.1562451
54048.41,20.930975,0.08408236
54049.42,20.824593,0.06427843
54050.38,21.038795,0.10697754
54055.4,20.933504,0.040433124
54056.38,20.9988,0.03821922
54058.38,20.945482,0.039553072
54059.38,21.036367,0.03930097
54060.4,20.959549,0.037709016
54061.39,20.939684,0.057374373
54062.38,21.09119,0.039636627
54065.38,21.010746,0.042394478
54068.36,20.9867,0.04127881
54346.46,20.989092,0.08404502
54357.42,20.936237,0.030824615
54362.47,20.94436,0.031955913
54365.45,20.916485,0.028924238
54376.47,20.992327,0.04955366
54381.47,21.007269,0.041188456
54385.47,21.02174,0.03138534
54386.46,20.932014,0.056418423
54387.47,20.953611,0.040055506
54391.47,20.905787,0.045661464
54392.47,21.008202,0.0350152
54393.47,21.00643,0.043470595
54394.45,21.112661,0.05970221
54396.33,21.180872,0.15471998
54396.47,21.030788,0.05895547
54403.38,20.99921,0.08099503
54409.38,21.055521,0.030941457
54411.33,21.079239,0.04316176
54412.4,21.111313,0.05371845
54413.38,20.98832,0.04071425
54415.39,21.057148,0.030649979
54416.37,21.053492,0.034299795
54417.38,20.9303,0.07009545
54418.38,21.009508,0.042161513
54421.38,20.997715,0.040715788
54423.36,21.038877,0.035992455
54424.32,21.145166,0.06588202
