mjd,mag,magerr
51875.25,20.379246,0.027034724
52171.41,20.443565,0.036502346
52171.48,20.43738,0.03508471
52173.38,20.506271,0.031613782
52224.36,20.557854,0.026535101
52225.33,20.492283,0.028436305
52234.32,20.577036,0.053838935
52261.28,20.534037,0.030078953
52287.16,20.51855,0.028435914
52288.16,20.46957,0.027789712
52551.44,20.58346,0.025883164
52552.48,20.679401,0.033900574
52557.46,20.699615,0.027704809
52558.47,20.55965,0.036565676
52578.34,20.612694,0.032021273
52585.3,20.632015,0.025620626
52585.36,20.606825,0.031234886
52910.44,20.587902,0.03717582
52912.41,20.628489,0.034184385
52934.36,20.687809,0.030973371
52935.37,20.645134,0.03990656
52936.36,20.676317,0.033098307
53296.39,20.653162,0.035271183
53314.35,20.62444,0.0369121
53626.43,23.994081,0.843406
53627.43,20.264164,0.030188933
53635.43,20.372221,0.04903135
53638.46,20.301458,0.032963876
53640.43,20.373945,0.0311826
53657.47,20.342495,0.03154537
53663.41,20.240788,0.06098161
53663.49,20.233072,0.082140185
53664.42,20.876753,0.1755723
53665.49,20.288702,0.054976907
53666.48,20.377682,0.04544077
53668.4,20.30467,0.04139457
53668.48,20.181555,0.06360341
53669.38,20.29302,0.03136739
53671.47,20.328476,0.036576968
53674.37,20.320904,0.037610702
53675.37,20.297533,0.027591903
53676.46,20.521723,0.08005841
53676.49,22.171942,0.1345337
53679.43,20.221968,0.033904325
53680.38,20.335684,0.027316723
53681.42,20.60215,0.032681275
53683.43,21.260939,0.049791425
53686.37,20.412378,0.051063318
53696.38,20.325483,0.0446829
53697.38,20.361046,0.033875044
53699.4,20.412857,0.033383608
53975.45,20.146448,0.024828577
53989.46,20.133804,0.044647995
53994.47,20.052153,0.028449576
53996.45,19.88771,0.02389719
54000.43,20.10599,0.025300201
54007.48,20.112806,0.022545524
54008.44,20.115198,0.024473598
54009.41,20.047428,0.018514533
54009.48,20.081371,0.022793407
54012.4,20.035734,0.043233156
54012.48,20.104746,0.022144357
54025.47,19.8908,0.026143633
54028.48,20.13346,0.036943365
54030.43,20.089752,0.023499273
54031.39,20.103218,0.023575421
54035.48,20.071436,0.027257925
54037.38,20.143967,0.02318052
54039.39,20.112335,0.026744682
54040.4,20.087288,0.02790191
54041.36,20.118456,0.03427777
54041.43,20.08561,0.02977722
54047.43,20.08042,0.06976651
54048.41,20.127384,0.049894538
54049.42,20.26273,0.053644318
54050.38,20.02817,0.047341853
54052.39,20.120922,0.028199937
54053.4,20.202776,0.036393248
54055.4,20.174213,0.029365273
54056.39,20.180155,0.027602268
54058.38,20.163788,0.031835712
54059.38,20.122335,0.02921511
54065.38,20.184944,0.023514384
54068.37,20.068237,0.03317569
54346.46,19.98166,0.046575002
54348.47,20.04878,0.034469508
54362.48,20.006056,0.025511831
54365.46,20.020178,0.030849133
54381.48,20.07358,0.029518772
54385.47,20.015331,0.029204367
54386.47,20.094738,0.023870956
54387.47,20.023727,0.024719534
54391.47,20.01061,0.029877886
54392.47,20.140493,0.022800708
54393.48,20.044844,0.03055062
54394.46,20.017431,0.03756477
54396.34,19.91767,0.054929405
54396.48,19.956034,0.033632234
54402.47,19.943945,0.071782194
54403.39,20.02531,0.05163915
54406.38,20.046625,0.0249167
54409.38,20.047827,0.021486152
54411.34,20.102278,0.022193538
54413.38,19.998215,0.029182438
54415.39,20.054382,0.025869215
54416.38,20.076813,0.026930837
54418.38,20.016092,0.030681537
54421.38,20.085278,0.020268818
54422.38,20.097605,0.025540596
54423.36,20.06133,0.023786085
54424.32,20.008091,0.0343617
