mjd,mag,magerr
51818.42,19.192183,0.023686325
51875.25,19.15134,0.019810632
52171.41,19.221745,0.020629702
52171.48,19.137428,0.02097482
52173.39,19.187473,0.018573377
52224.37,19.013086,0.017575135
52225.33,19.035809,0.01970164
52234.32,18.999277,0.021130247
52287.17,18.947767,0.021622557
52288.17,18.977928,0.016955152
52522.47,18.786772,0.018488703
52551.44,18.824434,0.020328736
52552.49,18.780699,0.022621011
52557.46,18.826925,0.021883179
52558.47,18.83745,0.020403724
52578.35,18.845898,0.016569395
52585.31,18.864304,0.018608365
52585.36,18.875082,0.020592492
52908.44,19.283766,0.01990161
52910.45,19.138237,0.025032373
52912.42,19.13675,0.019111514
52934.37,19.1431,0.015663551
52935.37,19.161987,0.016477522
52936.36,19.173603,0.02957353
53270.43,19.0439,0.0225774
53272.48,18.98119,0.019542346
53288.4,18.989904,0.018212544
53296.4,18.99999,0.017761625
53298.45,18.962288,0.022109613
53312.36,18.953245,0.022798441
53314.36,18.964617,0.020343546
53616.46,19.337841,0.018607825
53622.47,19.334509,0.02185135
53626.44,19.480194,0.016048381
53627.43,19.285406,0.016615327
53638.47,19.271696,0.014958119
53639.47,19.273928,0.027548937
53640.43,19.358408,0.01932629
53657.47,19.236185,0.021991402
53663.41,19.156734,0.034912646
53664.43,19.671606,0.040473737
53668.4,19.22727,0.019088052
53668.48,19.221657,0.02311065
53669.39,19.262882,0.029460175
53671.47,19.239462,0.021897716
53673.37,19.217695,0.018945655
53674.37,19.22853,0.025199244
53675.37,19.239939,0.024894157
53676.46,19.196548,0.05125213
53679.43,19.23994,0.017271975
53680.38,19.185152,0.023418352
53681.42,19.53209,0.025281508
53686.38,19.21516,0.021095302
53696.39,19.275614,0.023020906
53697.38,19.317162,0.024124201
53699.4,19.268988,0.02291225
53975.45,19.206396,0.020129893
53989.46,19.180157,0.030819114
53994.47,19.18549,0.015435789
53996.46,18.975508,0.019499144
54007.49,19.171906,0.019515129
54008.45,19.18722,0.015770407
54009.41,19.210684,0.022020413
54009.48,19.173136,0.022676127
54010.41,19.18616,0.016163353
54011.47,19.19667,0.02383518
54012.4,19.176867,0.016761262
54020.44,19.10866,0.023608696
54024.49,19.171803,0.020391578
54025.47,18.953764,0.015438376
54028.48,19.161648,0.026672611
54030.44,19.107817,0.014760153
54031.39,19.172085,0.021083301
54035.48,19.102888,0.023038242
54037.39,19.111048,0.024580134
54039.39,19.160557,0.02028888
54040.4,19.1139,0.018641137
54041.36,19.186,0.02630906
54041.44,19.144249,0.021470945
54047.43,19.122934,0.036412023
54049.43,19.092531,0.030358639
54050.39,19.103853,0.030245852
54052.39,19.08878,0.019146902
54053.41,19.27234,0.047684155
54056.39,19.118011,0.021993693
54058.39,19.129393,0.023155374
54059.39,19.048504,0.030326435
54061.4,19.144886,0.019687071
54062.39,19.034527,0.025203368
54065.39,19.102205,0.01731891
54068.37,19.16997,0.028515942
54348.47,19.02604,0.018011361
54357.43,19.004484,0.021114586
54362.48,19.063591,0.016505966
54376.47,19.038845,0.018747227
54381.48,19.08955,0.023754556
54382.46,19.036053,0.018615719
54385.48,19.061893,0.019093456
54386.47,19.04115,0.01827597
54387.48,19.050066,0.019769007
54391.48,19.022825,0.015938476
54393.48,19.086575,0.019359807
54394.46,19.013803,0.0281578
54396.34,18.957096,0.024250392
54396.48,19.003778,0.018859498
54402.47,19.085466,0.02961306
54404.45,18.764542,0.046839114
54406.38,19.04873,0.02246989
54409.39,19.030294,0.015829911
54411.34,19.06642,0.020518133
54412.41,19.040237,0.019533388
54413.38,19.016172,0.029567594
54415.4,19.018406,0.018574646
54416.38,19.022308,0.021661492
54418.38,18.92133,0.020974448
54421.39,19.002598,0.019640746
54422.39,19.014978,0.019013727
54423.37,18.99194,0.017103704
54424.32,19.018303,0.021448119
