mjd,mag,magerr
51818.43,20.303476,0.038719803
52171.42,20.448507,0.03946024
52171.49,20.375912,0.034120195
52173.39,20.432322,0.05136032
52224.37,20.24191,0.036474645
52225.34,20.258236,0.034670826
52234.33,20.205124,0.041157637
52261.29,20.084368,0.032517128
52283.16,20.073496,0.045056656
52287.17,20.041021,0.03507178
52288.17,20.02882,0.031721126
52522.47,20.074728,0.029899377
52551.45,20.038488,0.031720657
52558.48,20.11217,0.031425145
52578.35,20.006886,0.027857311
52585.31,19.97552,0.029469462
52585.37,20.022028,0.031605244
52908.44,19.998375,0.03134429
52910.45,20.07959,0.037335727
52912.42,20.065517,0.036553904
52934.37,19.913923,0.03231629
52935.38,20.04231,0.037788354
52936.37,20.015749,0.032731082
53270.43,20.11028,0.03402948
53272.48,20.171673,0.034624327
53286.45,20.236883,0.049409952
53288.41,20.076918,0.032638278
53294.46,20.091898,0.03821344
53296.4,20.062626,0.03716846
53298.45,20.079468,0.035347868
53312.36,20.00671,0.04115067
53314.36,20.004492,0.036962155
53351.22,20.193836,0.031338736
53616.47,20.145422,0.03832178
53627.44,20.125729,0.033665262
53635.44,20.16409,0.0429271
53638.47,20.127144,0.035801273
53639.47,20.17009,0.036915425
53640.43,20.181805,0.033727005
53657.43,20.224558,0.04737484
53657.48,20.19706,0.038463388
53663.42,20.231655,0.04693447
53664.43,20.333614,0.091797866
53665.4,20.243713,0.05010757
53668.41,20.150984,0.05866645
53668.48,20.287333,0.0695141
53669.39,20.105413,0.035819575
53669.49,20.191628,0.04368003
53671.48,20.17773,0.033260368
53673.38,20.33453,0.037075263
53674.37,20.163055,0.043794516
53675.38,20.290821,0.046327233
53676.46,20.159813,0.04411536
53679.44,20.129326,0.038583744
53680.38,20.122183,0.036734924
53681.43,20.349092,0.03159427
53683.44,21.382963,0.10081656
53686.38,20.178516,0.049044617
53696.39,20.191793,0.03955884
53697.39,20.171492,0.032633506
53699.41,20.261456,0.0388115
53700.38,20.220078,0.038109902
53975.46,19.932287,0.031654313
53989.47,20.006287,0.04031654
53994.48,19.992731,0.03310209
53996.46,19.978891,0.031553507
54008.45,20.01864,0.03437645
54009.41,19.986126,0.025687171
54010.42,20.012651,0.027738689
54011.48,20.045904,0.033645738
54012.41,19.946863,0.034354325
54020.45,19.960413,0.03381828
54025.48,20.007494,0.03458126
54028.48,19.954878,0.033936404
54029.49,19.994764,0.03865452
54030.44,19.950962,0.029220253
54031.4,20.019268,0.03693808
54035.48,19.975048,0.039635606
54036.4,19.898342,0.035191685
54037.39,19.941532,0.0228067
54039.4,19.972668,0.031098476
54040.4,19.960533,0.029040018
54041.37,19.96463,0.031534784
54041.44,19.95207,0.026407648
54047.43,19.92951,0.059941236
54048.42,20.024588,0.032195486
54049.43,19.884895,0.046817698
54050.39,19.909914,0.035313994
54052.4,20.062553,0.049113873
54053.41,20.008461,0.066091314
54055.41,19.889599,0.0369989
54056.4,19.88439,0.0324865
54058.39,19.982176,0.048728745
54059.39,19.923773,0.03600415
54060.41,19.952927,0.033241864
54061.4,20.125578,0.05389063
54062.4,19.887562,0.027450362
54065.39,19.859108,0.045375437
54068.38,19.936157,0.047134575
54357.43,20.011538,0.03228003
54365.46,20.019474,0.029352473
54376.48,20.008621,0.028626459
54381.48,20.04414,0.0332868
54382.46,19.972422,0.030370798
54385.48,19.971521,0.027773054
54386.48,19.982325,0.030033097
54387.48,19.921926,0.035886966
54391.48,19.877449,0.048562665
54392.48,19.972637,0.040773254
54393.48,19.973822,0.030984312
54394.47,19.920628,0.05969848
54396.35,20.006517,0.056386206
54396.49,19.94897,0.05380582
54402.48,19.88043,0.042075578
54403.39,19.878134,0.063189745
54404.45,20.02115,0.05564178
54406.39,19.989628,0.028522491
54409.39,19.895254,0.031723265
54411.35,19.912472,0.03064162
54412.41,19.871046,0.05110115
54413.39,19.94995,0.042948034
54416.39,19.975159,0.030289479
54421.39,19.99559,0.04001203
54422.39,19.940758,0.042138003
54423.37,20.008947,0.033993162
54424.33,19.97057,0.030902734
54433.39,19.900856,0.061638296
