mjd,mag,magerr
51818.41,20.578325,0.043772146
51875.24,20.575956,0.053314243
52171.4,20.614864,0.041833524
52171.47,20.692759,0.051310904
52173.38,20.58634,0.053458847
52224.36,20.554783,0.042937756
52225.32,20.595684,0.045959823
52261.28,20.6286,0.04210295
52287.16,20.538496,0.040894583
52288.16,20.64604,0.049877983
52522.46,20.699833,0.0545735
52551.43,20.602278,0.061265286
52552.48,20.583637,0.042736348
52557.45,20.488695,0.04193155
52558.46,20.672935,0.047362644
52578.33,20.598856,0.043407477
52585.3,20.53616,0.05125049
52585.35,20.598845,0.04099861
52908.42,20.607014,0.043087102
52910.43,20.4498,0.05348285
52912.4,20.48652,0.043625522
52934.36,20.482988,0.04509838
52935.36,20.508348,0.052207936
52936.35,20.527603,0.04250937
52963.28,20.543892,0.041929167
53270.42,20.433765,0.033373356
53272.47,20.442625,0.03666738
53286.44,20.273306,0.042052492
53288.39,20.440866,0.03989799
53294.44,20.506872,0.04501027
53296.39,20.320843,0.048249587
53298.44,20.363907,0.048140585
53312.34,20.532686,0.059438925
53314.35,20.397585,0.041410126
53616.45,20.394653,0.04304051
53622.46,20.368109,0.03440278
53626.43,20.561253,0.040695716
53627.42,20.461176,0.04474102
53635.42,20.45222,0.04808442
53638.45,20.434362,0.052785292
53639.46,20.477123,0.038868718
53640.42,20.464916,0.046389822
53646.48,20.734356,0.055025972
53657.46,20.377605,0.05297361
53663.4,20.524075,0.07972544
53663.48,20.446735,0.0879812
53665.38,20.829424,0.08847579
53665.48,20.451159,0.06162681
53666.47,20.366451,0.04593846
53668.39,20.380539,0.06618596
53668.47,20.481207,0.11449581
53669.38,20.393492,0.050198656
53669.48,20.335825,0.056463093
53671.46,20.419062,0.04305226
53673.36,20.428963,0.035050143
53674.36,20.519741,0.0703791
53675.36,20.381014,0.043916207
53676.45,20.395004,0.056676533
53676.48,21.313086,0.15874317
53679.42,20.306976,0.055285815
53680.37,20.438334,0.035272174
53681.41,20.52114,0.055651773
53683.43,21.440182,0.11569257
53686.37,20.416128,0.053525582
53696.38,20.345024,0.057581853
53697.37,20.419794,0.046146743
53699.39,20.526917,0.041645043
53704.35,20.466034,0.054904997
53975.44,20.410395,0.0663748
53989.45,20.474014,0.052410968
53994.46,20.444012,0.04730818
53996.45,20.484632,0.054598458
54000.43,20.454142,0.053104293
54007.48,20.454195,0.038733397
54009.4,20.462206,0.03413209
54009.47,20.3911,0.04240884
54010.4,20.466408,0.03870413
54011.46,20.474756,0.03313672
54012.39,20.396708,0.054283418
54012.48,20.441147,0.044553887
54020.43,20.480862,0.06048508
54024.48,20.37864,0.061562117
54025.46,20.233847,0.045974724
54028.47,20.41981,0.06417242
54029.47,20.534903,0.050432425
54030.42,20.429996,0.048938375
54031.38,20.425644,0.038956787
54035.47,20.55438,0.0720852
54036.38,20.539408,0.0597746
54037.37,20.448324,0.04337678
54039.38,20.428268,0.04182606
54040.39,20.398367,0.042864185
54041.35,20.443401,0.0478241
54041.42,20.508005,0.049621303
54047.42,20.40645,0.082351595
54048.4,20.583414,0.054417524
54049.42,20.425102,0.06804285
54050.38,20.47925,0.09476188
54052.38,20.493248,0.06547782
54053.39,20.567617,0.086285956
54055.39,20.495352,0.062698185
54056.38,20.483885,0.05800467
54058.38,20.388697,0.05724315
54059.38,20.379076,0.08499866
54060.4,20.463367,0.04968886
54061.39,20.286224,0.05897485
54062.38,20.388329,0.044459376
54065.37,20.384861,0.053991158
54068.36,20.546923,0.09044034
54346.46,20.383362,0.049603775
54348.46,20.373669,0.046229683
54357.42,20.339088,0.03550334
54362.47,20.347078,0.035956375
54365.45,20.355394,0.03314923
54376.46,20.333515,0.041388676
54381.47,20.400581,0.041283716
54382.45,20.294897,0.045451395
54385.47,20.301876,0.04459046
54386.46,20.450594,0.03842717
54387.47,20.414843,0.052110597
54391.47,20.364763,0.08332743
54392.46,20.403929,0.044386707
54393.47,20.41625,0.054629367
54394.45,20.419432,0.08932533
54396.33,20.256865,0.06888123
54396.47,20.380678,0.08123262
54402.46,20.389994,0.08715881
54403.38,20.309467,0.16328047
54406.37,20.337496,0.03516575
54409.38,20.326054,0.03595275
54411.33,20.346254,0.044795107
54412.4,20.34322,0.05090648
54413.37,20.334671,0.06306205
54415.38,20.348425,0.03711039
54416.37,20.381329,0.036956225
54417.37,20.354315,0.04186778
54418.37,20.326023,0.052654076
54421.38,20.332588,0.050753616
54422.38,20.339355,0.0726153
54423.35,20.516594,0.041093715
54424.31,20.289608,0.04267537
54433.38,20.302986,0.07801711
