mjd,mag,magerr
51818.42,21.392763,0.099533565
51875.25,21.487553,0.10492343
52171.41,21.62788,0.09101428
52171.48,21.352755,0.0920902
52173.39,21.421541,0.11091322
52224.37,21.301886,0.07326371
52225.33,21.461554,0.09184252
52234.32,21.336214,0.08557069
52261.29,21.422874,0.07686102
52287.17,21.291641,0.08034952
52288.17,21.551056,0.1055648
52522.47,21.154158,0.06760585
52551.44,21.11062,0.07738515
52552.48,21.093033,0.060797848
52557.46,21.107851,0.07349644
52558.47,21.30128,0.07435023
52578.34,21.161922,0.07929354
52585.31,21.133265,0.0733418
52585.36,21.106203,0.06690571
52908.43,21.725613,0.1197983
52910.44,21.242134,0.08418566
52912.41,21.183268,0.08202388
52934.37,21.233429,0.07930392
52935.37,21.211964,0.08421765
52936.36,21.269878,0.07349881
53270.43,21.165985,0.060766574
53272.48,21.189981,0.06451907
53286.44,21.434225,0.12391651
53288.4,21.177738,0.066481896
53294.45,21.226934,0.07980368
53296.4,21.165672,0.10024261
53298.45,21.253157,0.10003265
53312.35,21.120277,0.1143543
53314.36,21.247795,0.09607759
53616.46,21.295805,0.0862734
53622.47,21.422028,0.071321025
53626.44,21.873823,0.14691569
53627.43,21.14178,0.0823025
53635.43,21.204206,0.09062759
53638.46,21.3588,0.11283617
53639.47,21.350985,0.08586638
53640.43,21.266392,0.0905416
53657.47,21.187872,0.090258904
53665.49,21.234844,0.1196644
53668.4,21.230227,0.12667955
53668.48,21.242313,0.18050437
53669.38,21.412193,0.11886305
53669.49,21.155628,0.09843399
53671.47,21.258411,0.10228405
53673.37,21.191854,0.0653423
53674.37,21.04865,0.11670366
53675.37,21.426458,0.0916417
53676.46,21.222378,0.15201181
53679.43,21.274466,0.11198927
53680.38,21.223639,0.066777684
53681.42,21.420647,0.098239735
53683.44,22.061752,0.18227194
53686.38,21.383991,0.12480593
53696.39,21.207396,0.11022256
53697.38,21.548876,0.14547014
53699.4,21.274958,0.07973163
53975.45,21.50377,0.1312458
53989.46,21.509415,0.12342541
53994.47,21.29803,0.086618535
53996.46,21.345854,0.1121088
54008.45,21.279776,0.08563151
54009.41,21.306458,0.057959475
54009.48,21.282927,0.0709714
54010.41,21.259691,0.06477517
54011.47,21.370735,0.060103167
54012.4,21.133099,0.10413429
54020.44,21.592482,0.14991857
54024.49,21.343859,0.12705995
54025.47,21.287458,0.10688432
54028.48,21.151644,0.12127309
54029.48,21.241053,0.1006157
54030.43,21.309103,0.08561484
54031.39,21.288666,0.07724295
54035.48,21.282135,0.14843619
54037.38,21.342812,0.07798884
54039.39,21.314196,0.08854438
54040.4,21.308466,0.09380873
54041.36,21.38066,0.09489953
54041.43,21.289793,0.08896421
54047.43,21.28646,0.1841968
54048.41,21.221523,0.09066006
54049.42,21.106262,0.13173681
54050.38,21.27292,0.18945412
54055.4,21.31495,0.12048779
54056.39,21.153618,0.098865025
54058.39,21.05245,0.10941003
54059.38,21.358196,0.14710061
54060.41,21.453156,0.1014581
54061.4,21.308823,0.12775496
54062.39,21.254875,0.0912688
54065.38,21.342474,0.1173027
54348.47,21.213987,0.099926375
54357.43,21.320175,0.07415278
54362.48,21.225819,0.070377804
54365.46,21.177856,0.053326137
54376.47,21.136414,0.07960155
54381.48,21.240236,0.08934896
54382.46,21.109179,0.08972391
54385.48,21.371323,0.11083876
54386.47,21.309673,0.0738172
54387.48,21.210747,0.0973711
54391.48,21.206142,0.14853588
54392.47,21.292456,0.09598175
54394.46,21.222803,0.26924047
54396.34,21.22138,0.14771417
54396.48,21.030525,0.143336
54406.38,21.28905,0.06735523
54409.39,21.344374,0.08634239
54411.34,21.272314,0.10134683
54412.41,21.180643,0.10398666
54413.38,21.210148,0.11859942
54415.39,21.317242,0.07638728
54416.38,21.210897,0.07286779
54418.38,21.205902,0.11377068
54421.39,21.217798,0.10109586
54422.39,21.235455,0.1254273
54423.36,21.284275,0.0877676
54424.32,21.203465,0.09145785
