mjd,mag,magerr
51818.42,19.38678,0.021836484
51875.25,19.413967,0.02238662
52171.41,19.249706,0.024729973
52171.48,19.326883,0.022161635
52173.39,19.299276,0.027015828
52224.37,19.267632,0.032842353
52225.33,19.334774,0.025189077
52234.32,19.23969,0.02366061
52261.29,19.294106,0.022284912
52283.15,19.357342,0.028682185
52287.17,19.305552,0.022182457
52288.17,19.323084,0.018552084
52522.47,19.336987,0.02322708
52551.44,19.359686,0.022887742
52557.46,19.288301,0.03180024
52558.47,19.289429,0.020835666
52578.34,19.385057,0.028550263
52585.31,19.414463,0.022739973
52585.36,19.302834,0.029704815
52908.43,19.49982,0.033234205
52910.44,19.388988,0.029322892
52912.41,19.371061,0.024389077
52934.37,19.389479,0.022304296
52935.37,19.387394,0.0249574
52936.36,19.37271,0.02674272
53270.43,19.311983,0.024767295
53272.48,19.343868,0.024123898
53286.45,19.595472,0.028062291
53288.4,19.30567,0.02348333
53294.45,19.352255,0.02384376
53296.4,19.28929,0.023732727
53298.45,19.274878,0.022756547
53312.35,19.307165,0.023763787
53314.36,19.311743,0.022204136
53616.46,19.24719,0.022606058
53622.47,19.259403,0.0157729
53626.44,19.362654,0.024007935
53627.43,19.258425,0.018665284
53635.43,19.226053,0.02046752
53638.46,19.240004,0.020945575
53639.47,19.265324,0.02058737
53640.43,19.316168,0.024714762
53657.47,19.228237,0.021439236
53663.41,19.218197,0.025296818
53664.43,19.589724,0.049852468
53665.39,19.225885,0.02388288
53665.49,19.267141,0.023767833
53668.4,19.269943,0.026979389
53668.48,19.191021,0.03042682
53669.39,19.23751,0.024315981
53669.49,19.282213,0.023605123
53671.47,19.26955,0.024037724
53673.37,19.26505,0.020325912
53674.37,19.232033,0.027864479
53675.37,19.179098,0.027230352
53676.46,19.251207,0.05479428
53676.49,21.429508,0.1397211
53679.43,19.280264,0.021375459
53680.38,19.282764,0.029933926
53681.42,19.500364,0.023501072
53683.44,20.266302,0.04201346
53686.38,19.257666,0.023612838
53696.39,19.185797,0.020206371
53697.38,19.413254,0.021851726
53699.4,19.242186,0.023389097
53975.45,19.310226,0.023709722
53989.46,19.209166,0.029608954
53994.47,19.28821,0.019757153
53996.46,19.120588,0.020700652
54008.45,19.26174,0.018828517
54009.41,19.17323,0.024573062
54009.48,19.258633,0.016691007
54010.41,19.254389,0.017954411
54011.47,19.21981,0.027629456
54012.4,19.265343,0.019563772
54020.44,19.236906,0.021829944
54024.49,19.221008,0.020612067
54025.47,19.138172,0.020561159
54028.48,19.280796,0.027434126
54029.48,19.278084,0.02169556
54030.43,19.25806,0.01805954
54031.39,19.222792,0.020055193
54035.48,19.23966,0.02833051
54036.39,19.19942,0.021926349
54037.38,19.246685,0.017750919
54039.39,19.232084,0.021926347
54040.4,19.257082,0.019410439
54041.36,19.22333,0.022993926
54041.43,19.27417,0.01903925
54047.43,19.295696,0.035201486
54048.41,19.27309,0.023510747
54049.43,19.25147,0.02529955
54050.39,19.304247,0.036157295
54052.39,19.34448,0.035395846
54053.4,19.303225,0.03059496
54055.4,19.247133,0.030840067
54056.39,19.25179,0.024385976
54058.39,19.249022,0.027169187
54059.39,19.259449,0.026255501
54060.41,19.214062,0.024175098
54061.4,19.261984,0.025924481
54062.39,19.260378,0.025442818
54065.38,19.176922,0.021714382
54068.37,19.260973,0.028180009
54348.47,19.313675,0.041298244
54357.43,19.319664,0.029143678
54365.46,19.336874,0.023992559
54376.47,19.363377,0.024519859
54381.48,19.341997,0.027251156
54382.46,19.359924,0.023028044
54385.48,19.36671,0.019665074
54386.47,19.350365,0.020922653
54387.48,19.307257,0.022042545
54391.48,19.241085,0.02760537
54392.47,19.34299,0.022419311
54393.48,19.326342,0.02380528
54396.34,19.298246,0.033300675
54396.48,19.32097,0.039720163
54402.47,19.358803,0.035905965
54404.45,19.412384,0.040261894
54406.38,19.283115,0.021946369
54409.39,19.254602,0.019544836
54411.34,19.29513,0.02744097
54412.41,19.31905,0.025238512
54413.38,19.326523,0.04338653
54416.38,19.343813,0.022844663
54421.39,19.332985,0.026007243
54423.36,19.301876,0.017788887
54424.32,19.31926,0.022050848
54433.39,19.292377,0.03336382
